age,NumberOffriends,basketball,football,soccer,softball,volleyball,swimming,cheerleading,baseball,tennis,sports,cute,sex,sexy,hot,kissed,dance,band,marching,music,rock,god,church,jesus,bible,hair,dress,blonde,mall,shopping,clothes,hollister,abercrombie,die,death,drunk,drugs,gradyear_2007,gradyear_2008,gradyear_2009,cluster,PCA1,PCA2
-1.8927767757699318e-05,-0.8585449834667295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,1,0.6070695958100731,-0.6070963637159603
-0.08203534720187154,0.5207691426260541,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,False,False,1,-0.42624714248701856,0.31023164188015756
-0.06770783495280719,0.29557499959049766,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,2,0,1,0,0,4,0,0,1,0,0,0,0,0,0,1,1,True,False,False,1,-0.2568797557942389,0.16112641732506638
-1.8927767757699318e-05,0.15482866019327485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,1,-0.10949377949762477,0.10946701159175984
-0.18885333456370876,-0.8303957155872849,0,0,0,0,0,1,0,0,3,0,6,0,2,0,0,0,0,0,1,0,1,1,0,0,5,0,0,0,0,3,0,0,0,0,0,0,False,True,False,1,0.45363896804032344,-0.720717915079722
0.006483144317100941,0.04223158867549658,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,1,-0.025277967422690967,0.034446518042758154
0.07684399655013081,-0.3518581616367273,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,1,0.3031382031632324,-0.19446438105509367
-1.8927767757699318e-05,-0.8585449834667295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,1,0.6070695958100731,-0.6070963637159603
0.16734847986600324,-0.8585449834667295,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,1,0.7254162246975204,-0.48874973482851664
-1.8927767757699318e-05,-0.26741035799839363,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,True,False,False,1,0.18907429354724936,-0.18910106145312355
-1.8927767757699318e-05,-0.8585449834667295,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,True,1,0.6070695958100731,-0.6070963637159603
0.07755327933473782,-0.042216214962837104,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,1,0.08468982159709919,0.02498707784459526
-1.8927767757699318e-05,-0.8585449834667295,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,1,0.6070695958100731,-0.6070963637159603
-0.16431215021630152,1.6467398578038368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,True,False,0,-1.2806071559525372,1.0482346846539943
-0.041322515365421114,0.1829779280727194,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,False,False,1,-0.15860436457825722,0.10016550291711213
-1.8927767757699318e-05,1.6467398578038368,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,0,-1.1644343042561802,1.1644075363503479
-0.32517748576520356,1.9000832687188378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,0,-1.5734969694039413,1.113626558856448
-0.20133671157279479,-0.5770523046722839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,False,True,False,1,0.2656710436781659,-0.5504041517880249
-0.17140497806237265,-0.8585449834667295,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True,False,1,0.4858813574459704,-0.7282846020800594
-0.11891805200144372,-0.8585449834667295,0,0,0,0,3,2,0,0,0,1,6,0,2,0,0,1,0,0,2,3,1,0,0,0,4,0,1,1,0,2,0,0,1,0,0,0,False,True,False,1,0.5229952187872907,-0.6911707407387402
0.008043566443237072,0.4926198747466096,0,1,0,0,0,0,0,3,3,0,0,0,0,3,0,0,1,0,2,0,1,9,1,0,2,0,0,0,0,0,0,0,1,0,0,0,False,False,False,1,-0.3426471936036523,0.3540225143575381
0.03868458273826572,1.562292054165503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,1,0,1,2,1,0,0,2,0,0,0,False,False,False,0,-1.0773531749126708,1.1320614364759045
0.022796648363065736,1.759336929321615,1,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,False,False,0,-1.2279194084693632,1.2601587377610997
0.0209525131230869,-0.3518581616367273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,1,0.2636169562213935,-0.23398562799693137
-0.16558885922859395,0.9430081608177227,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,True,False,0,-0.783896470477941,0.5497184599789947
-1.8927767757699318e-05,-0.8585449834667295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,False,False,False,1,0.6070695958100731,-0.6070963637159603
-1.8927767757699318e-05,-0.5207537689133946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,1,0.36821513737417383,-0.36824190528005357
-0.12672016263212235,1.5341427862860584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,0,-1.1744074538015168,0.9951980811810786
-0.3810689691922472,-0.40815669739561644,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,1,0.019153916299531906,-0.5580668207307519
0.006908713987865249,0.15482866019327485,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,False,False,1,-0.10459519703459264,0.11436559405479184
-0.0688426874081785,0.9993066965766118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,True,False,False,0,-0.7552956727358684,0.6579374105330328
-0.15821231826867962,-0.436305965275061,0,2,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,1,0.19664190360310382,-0.42038790983316865
-0.32432634642367497,-0.3800074295161719,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,1,0.039372471438508534,-0.4980391891857927
-0.08586547423875032,0.23927646383160853,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,1,-0.2299100692576855,0.10847795104965248
